city_id,city_name,district_id,district_name,urban_id,urban_name,id,display_name,search_display_name,latitude,longitude
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1565,ყირიმის ქუჩა; ჩიხი,ყირიმის ქუჩა,41.717034,44.8084
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1761,წყნეთის ქუჩა; ხევი,წყნეთის ქუჩა,41.71364,44.751311
1,თბილისი,5,ისანი-სამგორი,52,ვარკეთილი,1872,ჯავახეთის ქუჩა; 3-ქ,ჯავახეთის ქუჩა,41.689571,44.870618
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1818,ხარფუხის ქუჩა; ჩიხი,ხარფუხის ქუჩა,41.686982,44.81324
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,1624,ჩაისუბნის ქუჩა; ჩიხი,ჩაისუბნის ქუჩა,41.703786,44.808771
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1635,ჩახრუხაძის ქუჩა; ჩიხი,ჩახრუხაძის ქუჩა,41.695196,44.806197
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,1826,ხეთაგუროვის ქუჩა; ჩიხი,ხეთაგუროვის ქუჩა,41.701718,44.807435
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1535,ქურდიანი ს. I შეს.,ქურდიანი ს. I შესახვევი,41.720442,44.805
1,თბილისი,6,ძველი თბილისი,64,ვერა,1540,გ. ქუჩიშვილის შეს.,Giorgi Kuchishvili Turne,41.708629,44.78301
1,თბილისი,5,ისანი-სამგორი,54,ლილო,1785,ჭირნახულის ქუჩა #1-13,ჭირნახულის ქუჩა ,41.682654,44.98736
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,11374,ქურდიანი ზ. 1 ჩიხ.,Zakaria Kurdiani 1 Dead End,41.704064,44.80335
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,11375,ქურდიანი ზ. 2 ჩიხ.,Zakaria Kurdiani 2 Dead End,41.703918,44.803613
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,11377,ქურდიანი ზ. 3 ჩიხ.,Zakaria Kurdiani 3 Dead End,41.70439,44.803649
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1556,ყარყარაშვილის ქუჩა; ჩიხი,ყარყარაშვილის ქუჩა,41.693846,44.846271
1,თბილისი,1,გლდანი-ნაძალადევი,6,თემქა,13556,ქუთათელაძე გ. I შეს.,Guram Kutateladze I Turn,41.773418,44.804022
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1536,ქურდიანი ს. II შეს.,ქურდიანი ს. II შესახვევი,41.720851,44.804332
1,თბილისი,5,ისანი-სამგორი,54,ლილო,1786,ჭირნახულის ქუჩა #14-16,ჭირნახულის ქუჩა ,41.683371,44.983816
1,თბილისი,1,გლდანი-ნაძალადევი,6,თემქა,13557,ქუთათელაძე გ. II შეს.,Guram Kutateladze II Turn,41.773529,44.803853
1,თბილისი,6,ძველი თბილისი,67,სოლოლაკი,1621,შხეფის ქუჩა; შესახვევი,შხეფის ქუჩა,41.690081,44.792882
1,თბილისი,2,თბილისის შემოგარენი,22,წყნეთი,1651,ჩოლოყაშვილის ქუჩა (წყნეთი),ჩოლოყაშვილის ქუჩა (წყნეთი),41.696555,44.707157
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1694,ცხემის ქუჩა; შესახვევი,ცხემის ქუჩა,41.700108,44.791268
1,თბილისი,2,თბილისის შემოგარენი,22,წყნეთი,1881,ჯავახიშვილის ქუჩა (წყნეთი),ჯავახიშვილის ქუჩა (წყნეთი),41.700602,44.708206
1,თბილისი,5,ისანი-სამგორი,54,ლილო,1543,ღლონტის ქუჩა; შესახვევი,ღლონტის ქუჩა,41.684614,44.979442
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1569,ყიფიანის ქუჩა; შესახვევი,ყიფიანის ქუჩა,41.696863,44.793223
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1586,შარდენის ქუჩა; შესახვევი,შარდენის ქუჩა,41.690515,44.808387
1,თბილისი,6,ძველი თბილისი,62,ავლაბარი,1643,ჩეხოვის ქუჩა; შესახვევი,ჩეხოვის ქუჩა,41.69074,44.814183
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1802,ჭოპორტის ქუჩა; შესახვევი,ჭოპორტის ქუჩა,41.761043,44.789522
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1580,შავსოფელის ქუჩა; შესახვევი,შავსოფელის ქუჩა,41.687199,44.823691
1,თბილისი,6,ძველი თბილისი,62,ავლაბარი,1657,ჩუბინიძის ქუჩა; შესახვევი,ჩუბინიძის ქუჩა,41.694804,44.820252
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1692,ცუცხვათის ქუჩა; შესახვევი,ცუცხვათის ქუჩა,41.68885,44.837658
1,თბილისი,1,გლდანი-ნაძალადევი,8,ლოტკინი,1728,წერონისის ქუჩა; შესახვევი,წერონისის ქუჩა,41.734765,44.817613
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1823,ხევისუბნის ქუჩა; შესახვევი,ხევისუბნის ქუჩა,41.761871,44.786295
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1673,ცისარტყელას ქუჩა; შესახვევი,ცისარტყელას ქუჩა,41.743128,44.791798
1,თბილისი,1,გლდანი-ნაძალადევი,1,ავჭალა,1829,ხეჩუაშვილის ქუჩა; შესახვევი,ხეჩუაშვილის ქუჩა,41.827078,44.791132
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1629,"ჩარგლის ქუჩა #2-36, 1-37",ჩარგლის ქუჩა,41.764767,44.79411
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1645,"ჩიტაიას ქუჩა #9-43, 2-44",ჩიტაიას ქუჩა ,41.714832,44.802687
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,1696,"ცხვედაძის ქუჩა; ჩიხები, ხევი",ცხვედაძის ქუჩა,41.706915,44.75723
1,თბილისი,2,თბილისის შემოგარენი,22,წყნეთი,1780,ჭავჭავაძე ი. ქუჩა (წყნეთი),ჭავჭავაძე ი. ქუჩა (წყნეთი),41.699342,44.699158
1,თბილისი,3,დიდუბე-ჩუღურეთი,27,ჩუღურეთი,1655,"ჩუბინაშვილის ქუჩა #1-9, 2-16",ჩუბინაშვილის ქუჩა ,41.712284,44.802304
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1799,"ჭონქაძის ქუჩა #1-23, 2-18",ჭონქაძის ქუჩა ,41.690696,44.796078
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1813,"ხარაბაძის ქუჩა #1-23, 2-26",ხარაბაძის ქუჩა ,41.690311,44.851409
1,თბილისი,6,ძველი თბილისი,64,ვერა,1541,ღამბაშიძის ქ.,ღამბაშიძის ქუჩა,41.708676,44.784439
1,თბილისი,6,ძველი თბილისი,64,ვერა,2920,შ. ღამბაშიძის ქ.,Shalva Ghambashidze St,41.70871,44.784503
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,6597,ღების ქ.,ღების ქუჩა,41.776554,44.849087
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,6861,"ღვალაძე ე, ქ,",Evgen Gvaladze St,41.783725,44.819448
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1544,ღოღობერიძე ა. ქ.,ღოღობერიძე ა. ქუჩა,41.749047,44.792757
1,თბილისი,5,ისანი-სამგორი,60,ფონიჭალა,8407,ღოღობერიძე ლ. ქ.,Levan Ghoghoberidze St,41.641296,44.903523
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,12428,ღოღობერიძე ნ. ქ.,5 Nutsa Ghoghoberidze,41.700269,44.765989
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1545,ღრმაღელის ქ.,ღრმაღელის ქუჩა,41.751827,44.794341
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1548,ღრმაღელის I ჩიხი,ღრმაღელის I ჩიხი,41.753659,44.792036
1,თბილისი,1,გლდანი-ნაძალადევი,11,სან. ზონა,1546,ღრმაღელის შესახვევი,ღრმაღელის შესახვევი,41.753009,44.791539
1,თბილისი,1,გლდანი-ნაძალადევი,10,ნაძალადევი,1549,ღუდუშაურის ქ.,ღუდუშაურის ქუჩა,41.726254,44.80542
1,თბილისი,1,გლდანი-ნაძალადევი,4,ზაჰესი,1555,ყაზბეგის ქ.,ყაზბეგის ქუჩა,41.825313,44.752964
1,თბილისი,2,თბილისის შემოგარენი,16,კიკეთი,7754,ყაზბეგის ქ.,ალექსანდრე ყაზბეგის  ქუჩა,41.65125,44.641825
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1550,ყავლაშვილის ქ.,ყავლაშვილის ქუჩა,41.693731,44.80527
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1552,ყავლაშვილის ჩიხი,ყავლაშვილის ჩიხი,41.693758,44.805726
1,თბილისი,4,ვაკე-საბურთალო,48,სოფ. დიღომი,4773,ყაზბეგი ა. ქ.,ალექსანდრე ყაზბეგის ქუჩა,41.777978,44.735565
1,თბილისი,5,ისანი-სამგორი,51,ვაზისუბანი,1557,ყაუხჩიშვილი ს. ქ.,ყაუხჩიშვილის ქუჩა,41.7048,44.844262
1,თბილისი,6,ძველი თბილისი,61,აბანოთუბანი,1551,ყავლაშვილის შესახვევი,ყავლაშვილის შესახვევი,41.694038,44.804809
1,თბილისი,5,ისანი-სამგორი,52,ვარკეთილი,5492,შერვაშიძე ყადირის ქ.,ყადირ შერვაშიძის ქუჩა,41.705694,44.868628
1,თბილისი,1,გლდანი-ნაძალადევი,9,მუხიანი,7031,ყვარლის ქ.,Kvareli St,41.775395,44.863919
1,თბილისი,5,ისანი-სამგორი,53,ისანი,4667,ყვარელის ქ.,Kvareli St,41.697053,44.841739
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1563,ყვარელის I ჩიხი,ყვარელის I ჩიხი,41.69624,44.842392
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1564,ყვარელის 2 ჩიხი,ყვარელის 2 ჩიხი,41.697701,44.842413
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1560,ყვარელის შესახვევი,ყვარელის შესახვევი,41.697468,44.84299
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1561,ყვარელის 2 შესახვევი,ყვარელის 2 შესახვევი,41.696889,44.843432
1,თბილისი,5,ისანი-სამგორი,53,ისანი,1562,ყვარელის 6 შესახვევი,ყვარელის 6 შესახვევი,41.696938,44.839462
1,თბილისი,6,ძველი თბილისი,66,მთაწმინდა,1570,ყიფიანის ჩიხი,ყიფიანის ჩიხი,41.696895,44.792367
1,თბილისი,4,ვაკე-საბურთალო,38,ვაკე,2953,ყიფშიძე ნ. ქ.,Nikolioz Kipshidze St,41.71435,44.758361
1,თბილისი,1,გლდანი-ნაძალადევი,2,გლდანი,13504,ყიფშიძე ა. ქ.,Aleksandre Kifshidze St,41.814367,44.854476
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1566,ყირიმის I შესახვევი,ყირიმის I შესახვევი,41.716536,44.807791
1,თბილისი,3,დიდუბე-ჩუღურეთი,25,კუკია,1567,ყირიმის II შესახვევი,ყირიმის II შესახვევი,41.716653,44.808655
1,თბილისი,1,გლდანი-ნაძალადევი,1,ავჭალა,1572,ყუშიტაშვილის ქ.,ყუშიტაშვილის ქუჩა,41.829545,44.788931
1,თბილისი,4,ვაკე-საბურთალო,30,დიღომი 1-9,4512,პ. ყურაშვილის ქ.,Pimen Kurashvili St,41.807017,44.778705
1,თბილისი,1,გლდანი-ნაძალადევი,5,თბილისის ზღვა,4649,ს. ყუბანეიშვილის ქ.,Solomon Kubaneishvili St,41.730332,44.839393
1,თბილისი,4,ვაკე-საბურთალო,30,დიღომი 1-9,4520,პ. ყურაშვილის I ჩიხ.,პ. ყურაშვილის 1-ლი ჩიხი,41.802885,44.774014
1,თბილისი,6,ძველი თბილისი,64,ვერა,1583,შანიძის ქ.,შანიძის ქუჩა,41.706543,44.780871
1,თბილისი,1,გლდანი-ნაძალადევი,6,თემქა,1593,შატილის ქ.,შატილის ქუჩა,41.778112,44.798389
