myhome_id,myhome_name,myhome_sub,ss_id,ss_name,ss_sub,score,method
"1766","წყნეთის გზატკეცილი I გას.","ბაგები","52","წყნეთის გზატკეცილი","ბაგები",100,SubDistrict
"1231","რიწის ქუჩა; გასასვლელები","მთაწმინდა","1187","ს. ჟღენტის ქ.","მთაწმინდა",100,Geospatial
"1869","ჯაბაური გიორგის ქუჩა; გას","სვანეთის უბანი","746","მამარდაშვილის ქ.","სვანეთის უბანი",100,Geospatial
"1252","რუსთავის გზატკეცილი III გას","ფონიჭალა","255","რუსთავის გზატკეცილი","ფონიჭალა",100,SubDistrict
"1742","წრომის ქუჩა; გასასვლელები","ლოტკინი","1304","ძმობის II ქ.","ნაძალადევი",100,Geospatial
"1767","წყნეთის გზატკეცილი II გას.","ბაგები","52","წყნეთის გზატკეცილი","ბაგები",100,SubDistrict
"1244","რუსთაველის გამზირი გას; შესახვევი; #1-3, 2-4","მთაწმინდა","607","ტიბაანის ქ.","სანზონა",100,Geospatial
"268","გაბაშვილი გიგოს მოედანი; ქ.","საბურთალო","1108","გ. გაბაშვილის ქ.","საბურთალო",89,SubDistrict
"1503","ქვიშხეთის ქუჩა; გას; ჩიხები","სან. ზონა","591","ვარდისუბნის ქ.","სანზონა",100,Geospatial
"1777","ილია ჭავჭავაძის გამზირი #1-3","ვაკე","587","ედისის ქ.","სანზონა",100,Geospatial
"303","გერგეთის ქუჩა; შესახვევი; გას.","სოლოლაკი","1039","გერგეთის ქ.","სოლოლაკი",100,SubDistrict
"1193","პეკინის გამზირი 1,2,კვ. #17ა","საბურთალო","1103","ბროლოსანის ქ.","საბურთალო",100,Geospatial
"402","გუნიას ქუჩა; გას; შესახვევი","ვერა","914","გუნიას ქ.","ვერა",100,SubDistrict
"1039","მოსკოვის გამზირი","მოსკოვის გამზირი","280","მოსკოვის გამზ.","სამგორი",100,District
"13839","რუსთაველის გამზირი","მთაწმინდა","1005","რუსთაველის გამზ.","მთაწმინდა",100,SubDistrict
"1174","ოქრომჭედლების ქუჩა; შესახვევი; გას.","აბანოთუბანი","1065","ოქრომჭედლების ქ.","სოლოლაკი",100,District
"376","გუდარეხის ქუჩა; გას; შესახვევი","ნავთლუღი","267","გუდარეხის ქ.","ნავთლუღი",100,SubDistrict
"645","თამარ მეფის გამზირი (წყნეთი)","წყნეთი","1423","თამარ მეფის ქ.","დიდი დიღომი",100,Global
"1036","მოსაშვილის ქუჩა; ყველა გარდა #2","ვაკე","28","მოსაშვილის ქ.","ვაკე",100,Geospatial
"1192","პეკინის გამზირი #27-45, 28-46","საბურთალო","94","პეკინის ქ.","საბურთალო",100,Geospatial
